Question	Answer
سلام	سلام
اینجام کسی تحویلم نمیگره	من که گرفتم
سلام کی اهل دوستی هست بیا پی و ی	التماس کن
من که گرفتم	اره والا بازم ایول ب تو
هخخخ	چه جالب
چه جالب	خبی
اره والا بازم ایول ب تو	خواهش اصل بده
خبی	عالی وقتی نمیام تل خودت جطوری
عالی وقتی نمیام تل خودت جطوری	فدات داداش
فدات داداش	عزیزی
عزیزی	پروفسوری یا
پروفسوری یا	خیلی
خیلی	اصل
خیلی	سلام
اصل	اول شما
سلام	سلام
سلام	خوبی شما
اول شما	۲۳
اول شما	شغلت چیع
سلام	بای
خوبی شما	به خوبی شما چه خبر
شغلت چیع	طراح
مشهد	۲۲ مشهد
چشم	بی بلا
سلام کردن بلد نیستین	این دوره زمونه نه
۲۲ مشهد	خوش هم شهری
سلام کردن بلد نیستین	ببخشید سلام
این دوره زمونه نه	زلیل بشع روزگاار
خوش هم شهری	خوشوقتم
ببخشید سلام	خبی
خوش هم شهری	کجای مشهدی
زلیل بشع روزگاار	ایشالله نشن
کجای مشهدی	سلمان فارسی
خبی	خستم از
سلمان فارسی	امامت
ایشالله نشن	ایشالله میشن
سلمان فارسی	سینگلی؟
خبی	توخوبی
سینگلی؟	نع
منم کجا بودی نفله	توکه نشناختی غلط کردی دلت تنگ شده بدد یخبر میگرفتی
نع	واقعا
ایشالله میشن	نمیشن
نمیشن	خداا کنه بشن
توکه نشناختی غلط کردی دلت تنگ شده بدد یخبر میگرفتی	من که شناختم از کجا میگرفتم پی تو از کدوم دوستت تازه هفته ای یه بار میام تل امروزم مهمون داریم تا صبح میخوان فک بزنن باس بیداری بکشم جا هم نی یه حا بمرگم
خداا کنه بشن	هر چی شما بگین
نع	شوخی میکنی؟
یکی از دسته بندی های زیر را انتخاب کنید	عجب رباتی
یکی از دسته بندی های زیر را انتخاب کنید	ابرفض
شوخی میکنی؟	نه رل دارم واقعا
نه رل دارم واقعا	تف به این شانس
بچه ارومیه نداریم	داریم نجه
داریم نجه	اله
اله	کفین
کفین	ساغول
اینجا کجاست	امریکا
سلام ب بچه های باحال	سلام بی حال
بگو من کم داری بگو	کم دارمت
ناراحتم	چرا عزیزم
چرا عزیزم	همینجوری
همینجوری	همینجوری که نمیشه
همینجوری که نمیشه	چرا
هخخه	خبی
ینی اینقد زایعس؟	اره دیگه یکم استتار تر بیا
طراح چی هستی داش	گرافیک داش
گرافیک داش	بچه کجایی
سلام	بای
بچه کجایی	همین ورا عزیز شما کجایی
همین ورا عزیز شما کجایی	خخخخ بگو دا
خخخخ بگو دا	تهران
تهران	اوک
بحق دوازده تن زیر هیجده چرخشی	۱۲ تن کیا هستن
چقد شما از این ور به اون ور میرین	گروه امیرحسین نبودی تو؟
چتخوش	خوش باشی
گروه امیرحسین نبودی تو؟	بودم شما
سلام پرقدرتای کیری مقام	سلام مادر فاکر
خوش باشی	دادلش بیا پ
دادلش بیا پ	استغفرالله برادر توبه کن
نگار سلام	امیر سلام
استغفرالله برادر توبه کن	خخخخ منحرف نباش کانالم میای
خخخخ منحرف نباش کانالم میای	من هفته ای یه بار میام کانال در مورد چیه
امیر سلام	خب میخای اسم خودتا بگم
بای	چرا
من هفته ای یه بار میام کانال در مورد چیه	غم دل شکسته هل
خب میخای اسم خودتا بگم	امیر میخوای بگو امیل
۱۲ تن کیا هستن	ادمای خوبین
بودم شما	الهه ناز
ادمای خوبین	میای کانالم
امیر میخوای بگو امیل	نع اسم خودتا
میای کانالم	چجوریه
الهه ناز	اها خوبی الهه جان
چجوریه	غم فاز
میای کانالم	کانال چی عس
کانال چی عس	کانال فاز غم
نع اسم خودتا	واییی میخوای بگی امیر عشقم
اها خوبی الهه جان	قربونت تو خوبی عشق دلم تنگ شده برات ک نبودی اینجا
غم فاز	فازمثبتم داره انرژی مثبت بگیری
فازمثبتم داره انرژی مثبت بگیری	ن فقط دل شکسته
جواب سلام واجبه ها	سلام
ن فقط دل شکسته	حالا بده
سلام	علیک
جواب سلام واجبه ها	مستخبع
قربونت تو خوبی عشق دلم تنگ شده برات ک نبودی اینجا	فدات اره نبودم اینقد خونه ب خونه اومدم تا رسیدم اینجا
حالا بده	بیا پ بدم
علیک	خوبی
بیا پ بدم	نمیام
کانال فاز غم	برفس
خوبی	مرسی
برفس	بلع؟
نگی راحترم نیاز به زحمت نی	گفتی بگما میگما
نمیام	باش خاهر
فدات اره نبودم اینقد خونه ب خونه اومدم تا رسیدم اینجا	ای جان قربونت بمون همینجا
بلع؟	بفرست
بفرست	رپم
برادرا خواهرا	هوم
رپم	پ هیچی دگه
هوم	هوم یعنی آره
ای جان قربونت بمون همینجا	مرسی عزیزم اومدم ی سر بزنم
مرسی	خواهش
گفتی بگما میگما	نگو بده جای عشقم یه چی دیگه بگو سیاه نشه
مرسی عزیزم اومدم ی سر بزنم	نمیمونی
نمیمونی	نه فدا
نه فدا	بریچی
بریچی	کلا زیاد تل نمیام
باش نمیگم میگما کسی به اسم معراج از قدیمیا میشناسی؟	یدونه معراج ک خیلیم پر حرفه اینجا هست
یدونه معراج ک خیلیم پر حرفه اینجا هست	نه قدیمیه نیو لند
نه قدیمیه نیو لند	اهان نمیدونم این همونه یانخ
نه واقعا میشناسی	اره با فقط اصل هاشونو یادم نی پروفش رو ببینم متوجه میشم
اره با فقط اصل هاشونو یادم نی پروفش رو ببینم متوجه میشم	خودم دنبالشم میگه پروفش ببینم
خب دلتنگ دوسام میشم	اهوم ولی بیا سر بزن
اهوم ولی بیا سر بزن	چش
چش	قربونت
قربونت	فدا
کارش دارم دیدیش پی ویم بهش بده مرسی	دیدمش گروه خبرت میدم پی شو گروه میفرسم اگه بودی
دیدمش گروه خبرت میدم پی شو گروه میفرسم اگه بودی	گروه نیستم پی ویم از اینجا بهش بده
به مژگان توسباغا	چی
چی	همون لاکپشته
گروه نیستم پی ویم از اینجا بهش بده	اها باشه دیدمش پی تو میدم بش
اها باشه دیدمش پی تو میدم بش	مرسی
مرسی	خواهش
خوبی	اره
اره	ب شخمم
شبتون بخیر بای	کجا
شبتون بخیر بای	کجا
کجا	برم عزیزم خوشحال شدم دیدمت
برم عزیزم خوشحال شدم دیدمت	بازم بیا گل خب
شبتون بخیر بای	شبت بخیر
سلام مجدد	چطوری پلنگ
بگو من کم داری بگو	خخخ
چطوری پلنگ	خوب تو چطوری علیرضا
سلاام	سلام
سلاام	سلام
حوصله مان مرد	راه حل دارد
راه حل دارد	دیگ مرد
سلام	چطوری
دیگ مرد	خدا رحمتشان کند
سلام	خوبی
خوبی	ممنون تو خوبی
چطوری	مخلص تو خوبی
کوکب اصل قضیه اس ندیدی چه دوستاط فضایی داره فقط لازم یکم باش راه بیای دوستاش برای تو میشن اوففف یه حرمسرا راه میندازم	درک عصن همون موقع هم ک بات بودم با همه دوستاتم بودم
خدا رحمتشان کند	خدا رفتگان شما هم رحمت کند
خدا رفتگان شما هم رحمت کند	همچنین شما را
کدوم ترفندا	تو اسم داری یا میتونم مال خودم صدات کنم
سلام	سلام
سلام	خوبي
تو اسم داری یا میتونم مال خودم صدات کنم	هن
درک عصن همون موقع هم ک بات بودم با همه دوستاتم بودم	دوستای من همش دخی از بس منو میخان موندم با کی باشم هر ساعت با یکی
هووووووووووووو	تو کلات
خوبي	ممنون تو خوبی
هن	خودت گفتی
ممنون تو خوبی	بدنيستم
ممنون تو خوبی	با تو عالی
بدنيستم	الحمدلله
مخلص تو خوبی	اقایی به خوبیت
دوستای من همش دخی از بس منو میخان موندم با کی باشم هر ساعت با یکی	دوستای منم همشکن ایدز دارن ببخش ک دیر گفدم بهت
سپاس	خواهش لیدی
خودت گفتی	اها ترفندت بود؟
اقایی به خوبیت	اصل لطف میکنی
اها ترفندت بود؟	کار کرد؟
کرکرکر	هرهر
کار کرد؟	نه متاسفانه ولی همین فرمون پیش بری تا صب رلیدی
اصل لطف میکنی	بعلههه
بعلههه	خب بگو
خب بگو	خو ثحر۲۰ته
اودافظ بیبی،اودافظ	خدافظ مادربزرگه من
خو ثحر۲۰ته	اوووف
اوووف	توام بدع
نه متاسفانه ولی همین فرمون پیش بری تا صب رلیدی	مطمئنی؟
خدافظ مادربزرگه من	هم سنه بابا بزرگ بابامی
توام بدع	۲۶ تهران شهرک ولیعصر
۲۶ تهران شهرک ولیعصر	خوش
خوش	همچنین
توالان الوده ای شونزده متر فاصله بگیر	من که مرکز آلوده هام از قبل هم آلوده شدی از طریق کوکب
مطمئنی؟	نه زیاد
سلام	سلام
سلام	خبی
خبی	بدنیستم
همچنین	خودت گلی
من که مرکز آلوده هام از قبل هم آلوده شدی از طریق کوکب	کوکب اون جوزام داشت به اونم رحم نکردی
بدنیستم	شکر اصل
شکر اصل	٢٠ اصف
خودت گلی	عطرشی کجایه تهرانی
٢٠ اصف	خوش
عطرشی کجایه تهرانی	ووووش یه جای تهران
ووووش یه جای تهران	ای جونم کجا مثلا
ای جونم کجا مثلا	یع جا مثلا
سلام	سلام
سلام	خوبین
خوبین	مرسی شما خوبی
مرسی شما خوبی	خوبم مچکر اصل میدین
مرسی شما خوبی	اصل بده
یواش به همتون چت میرسه بخدا	سلام عزیز خوبی
کسی از چهارمحال و بختیاری هست	بگو در خدمتم گگه
سلام	سلام خوبی
سلام	سلام
سلام	سلام
سلام	سلام
سلوم کردم	سلام
اروم باشین	اصل لطفا
سلام	خوبی
سلام به همه	سلام
سلام به همه	سلام خوبی
بگو در خدمتم گگه	اصل بده
سلام به همه	سلام
سلام	سلام
خوبی	ممنون
سلاممم	سلام
سلام کردم	سلام
سلام	خبی
سلام	خوبین
ممنون	ممنون بد نیستم توخوبی
سلاممم	سلام
ممنون بد نیستم توخوبی	مرسی
خبی	مرسی بخوبیت
مرسی	اصل میدین
سلام	خوبین
اصل میدین	شهریار و شما
خوبین	مرسی شما خوبین
سلام	خوب هستید اصل لطفا
سلام خوبی	ممنون شماخوبی اصل لطفا
خوب هستید اصل لطفا	خوبم مرسی ته شما
به منم توجه کنید	سلام خوبی اصل
مرسی شما خوبین	بدنیستم
بدنیستم	خدا بد نده چیزی شده
دوستان کسی بینی شو عمل کرده ؟	چطور
هااااااااااا چتهههههههههه	مرض بگیری میگی توجه بکن
ممنون شماخوبی اصل لطفا	مهشید از ته وشما
چطور	سوال داشتم
خدا بد نده چیزی شده	ن
ن	اصل میدین
سوال داشتم	من که نکردم
اصل میدین	۱۸کرمان
سلام	خوب هستید اصل لطفا
دوستان کسی بینی شو عمل کرده ؟	چطور من پرستارم مشکلی داری بگو
خوب هستید اصل لطفا	ممنون تو خوبی
۱۸کرمان	خوشبختم
خوشبختم	ممنون شما
چطور من پرستارم مشکلی داری بگو	اره میای پی
ممنون شما	۲۶ ته
اره میای پی	ریپورتم شمابیا
سلام	سلام خوبی
۲۶ ته	خوش
ریپورتم شمابیا	منم ریپم
خوبم مرسی ته شما	ته خوش
سلام خوبی	ممنونم شماخوبی
منم ریپم	شمارمو بدم بیا
ممنونم شماخوبی	بخوبیت اصل لطفا
شمارمو بدم بیا	ن
ته خوش	خوشبختم کجایه تهرانی
مهشید از ته وشما	ته چندسالتونه
بخوبیت اصل لطفا	مینا همدان
ن	اوکی هرجور راحتین
ته چندسالتونه	۲۷ دختری؟
کی دماغشو عمل کردهههه	من
بجه ها چجوری استوری تو اینستارو ذخیره کنم؟	زده سیو
این همه ممبر یه جا ندیده بودم	بگو ماشالله
کوفت	بله
من	اقایه لحظه میای پی وی بخداسوال دارم
سلام	سلام
زده سیو	کجاش
چرا واقعا	مرض واگیر داری
من	اا دماغتوختنه کردی چراااا
ازکرج کسی هست	کجای کرج
مرض واگیر داری	واگیر چی ؟ ؟
شیمااااا	هابله
سلام کنم شعور دارین جواب بدین؟	سلام
واگیر چی ؟ ؟	هیچ
کجای کرج	طالقانی اصل بده
بچه ها کسی سوال نداره مربی باشگاه بدنسازیم	چطوری لاغربشیم
سلام	فقط شما جواب دادی
سلام	سلام خوبی
چطوری لاغربشیم	چن کیلویی
۲۷ دختری؟	بله دخترم
سلام خوبی	ممنون شما خوبین
سلام	سلام خوبی
چطوری لاغربشیم	اره جواب لطفا
بله دخترم	خوشم آبجی جون ریپ نیسی عزیزم
کی اینستا داره؟	منن
چقد شما شوره یه چیزو درمیارین خیارشورای پرنمک	دوس داری خیارشور؟
فقط شما جواب دادی	چاکریم
سلام به بقیه	سلام
سلام خوبی	ممنون تو خوبی
شیما دستت بیار بالا گمت کردم	مواینجام
منن	چجودی استوری روذخیره کنم؟ میدونی؟
دوس داری خیارشور؟	ن تودوس داری ک بانمک بازی درمیاری
خوشبختم کجایه تهرانی	نازی اباد
سلام	خوبی
سلام به بقیه	سلام به تو
خوبی	مرسی شما خوبی
چن کیلویی	هفتاد
خوشم آبجی جون ریپ نیسی عزیزم	نه عزیزم
ممنون تو خوبی	ای بدک نیستم
ای بدک نیستم	الحمدلله
سلام به تو	خوبی
چقد شلوغه اینجا	آره والا
نازی اباد	چقدر خوب منم شهریارم
چقد شلوغه اینجا	اره خیلی شلوغه
سلام	سلام
چقدر خوب منم شهریارم	خوش
سلام	سلام
من رفتم خداحافظ	بای
خوش	سینگلی یا مجرد
الحمدلله	فدا
نه عزیزم	میشه ی لحظه بیای شخص من عزیزم
ن تودوس داری ک بانمک بازی درمیاری	من اصن نمک گپم
سلام	علیک
سلام	خوبی
سلام	سلام
سینگلی یا مجرد	مجردوسینگل چه فرقی داشت ایا
مجردوسینگل چه فرقی داشت ایا	اشنا شیم
اشنا شیم	نه
کی به کیه	فمیدی بگو منم بدونم
دوستمو گم کردم	زنگ بزن اتش نشانی
خودش فهمید	من
خوبی	ممنون تو خوبی
فمیدی بگو منم بدونم	اجازه نمیدن لامصبا بفهمیم
من	نه هم عکس طرف وگذاشته هم اسمشو
نه هم عکس طرف وگذاشته هم اسمشو	کیی
چ شلوغه	خیییلی
شیما	کجاییییی
خیییلی	خوبی
کسی هست اهل رل باشع	رل چیه
سلام	سلام
کسی هست اهل رل باشع	رل دیگه کجاست؟
من رفتم	اصل
سلام	سلام
سلام	سلام
کیی	ولش دیگه ابروش میره طفلک نمیدونم محبورن
سلام	خوبی
اینجام	کو
سلام	سلام
ولش دیگه ابروش میره طفلک نمیدونم محبورن	بگو
سلام	سلام
خوبی	ممنون تو خوبی
بگو	کلیدی ها
همه دارن فوش میدن سرچیه	پسره که
گفتم خودش فهمیدبخدا	درد خنده مرض خنده هی میخندی
درد خنده مرض خنده هی میخندی	خنده که دردنداره
خنده که دردنداره	اصل
توام	من چی
سلام	سلام
من خواستم حرف بزنم	عه
سلام	سلام
سلام	خوبی شما
سلام	سلام خوبی
خوبی شما	ممنون شما خوبی
ممنون شما خوبی	ممنون بخوبیت
کسی برا رل زنی هست	اخطار
کسی برا رل زنی هست	اره دادا ولی این راهش نیس
سلام رباط جان	با اون ت مینویسن
ممنون بخوبیت	مرسی
سلام اصن	سلام
مرسی	خواهش اصل بده
اوه شششششت	بریم چت
خواهش اصل بده	۲۳قم
سلام	خوبی؟
خوبی؟	تو خوبی
بریم چت	جاااان
جاااان	حوصلم سررفته
این گروه چشه	والاااا سرم درد گرف
شیما و مرضی	هااا
جاااان	برو
مرگ بر حکومت آخوندی	بن
حوصلم سررفته	پیدا میشع ۱حلالزادهنگران نباش
مرگ بر حکومت آخوندی	دیلیت
چته	نگا میکنم خو
از اصفهان کسی نبود؟خرجش پا خودش	اصل
بچه ها روز قیامت چی جواب خدا رو بدیم؟	خدا می دونه خودش چیکار کنه
اصل	دختری؟
نگا میکنم خو	باش اصل میدی
خخخ	والا بخدا ملت رد دادن کللللا
باش اصل میدی	ن
سمیرا گمت کردم	اینجام
ن	باش نده
دختری؟	خرجم میکنی
کسی چت نکنه	چرا
کسی چت نکنه	استپ نداره اینجا تو فقط چت بده بیرون
والا بخدا ملت رد دادن کللللا	اهوم ی نفر گف برو گروه ها میخندی راست میگف همه چرت و پرت دارن میگن
اهوم ی نفر گف برو گروه ها میخندی راست میگف همه چرت و پرت دارن میگن	اره دیگه
سلام	سلام
سلام	خوبی
سلام	سلام
خرجم میکنی	گفتم ک خرجت پا خودت
سلام	سلام
اره دیگه	خخ
گفتم ک خرجت پا خودت	نه اقا
عارع ببخشید پی ویم یکی کار واجب داشت	فدای سرت پیش میاد ایشالله قسمت بشه باز همو ببینیم شبت خوش
لرستان دارین	ن قبل شما ۱ماشین پرکرد رفت
سمیرا مرضی بیاید بیرون	اینجام
ن قبل شما ۱ماشین پرکرد رفت	عجب از سرویس جا موندیم
عجب از سرویس جا موندیم	فدای سرت فراا میری
ن قبل شما ۱ماشین پرکرد رفت	حاضری خاکستری کنی موهاتو
حاضری خاکستری کنی موهاتو	هرچی گفتی خودتی
سلام	سلااام
قربونت امیر	فدات الی
هرچی گفتی خودتی	هم مردونه هم زنونه داره مد میشه
حوصلم سر رفته	منم بد جور
هم مردونه هم زنونه داره مد میشه	من خودم مدل بقیم بابا رنگ میخام چیکار
چقد بده ادم خابشم نمیبره اه	بیا پی یه لحظه
شیما	جونم
سمیرا توییی	نه واقعا
فدات الی	بشی زودتر
جانا	من نمیدونم
بشی زودتر	شدم قربون صدقم بشی هر چه زودتر
یه سوال ازی خانم متاهل اینجابپرسم یاپی وی	اینجا
اینجا	متاهلی
شدم قربون صدقم بشی هر چه زودتر	من نمیشم ولی حیفم
متاهلی	نه
نه	اه
من نمیشم ولی حیفم	پس منم نمیشم هنو آرزو دارم
اه	چیه؟
چیه؟	ریپ نزن
کرمانشاهی هست	مل باریک
عشقمممم	جان
جان	خودت بیا
من مشاوره پوست وموهستم هرکسی هرسوالی داره میتونه توشخصی بپرسه گروه خیلی شلوغه	اه اه اه حالم بهم خورد
پس منم نمیشم هنو آرزو دارم	تو بشو باور کن حیف نمیشی من لایقم
هن	هن و درد
تو بشو باور کن حیف نمیشی من لایقم	بشم از انرژی زیادی که دارم بخش میشی رو دیوار دلم نمیاد بمیری
اه اه اه حالم بهم خورد	حالت ازخودت بهم بخوره
هن و درد	جوووون باوو
جوووون باوو	بادمجووون
بادمجووون	دوس داری
دوس داری	ن براتومیگم
بادمجووون	سلام
سلام	سلام
سلام	سلام
بشم از انرژی زیادی که دارم بخش میشی رو دیوار دلم نمیاد بمیری	خا پس نشو تووجون به عزارییل نمیدی
ن براتومیگم	بیا پی وی بینم چی میگی
بیا پی وی بینم چی میگی	خخخخخ
بیا پی وی بینم چی میگی	همش میکشونی پیوی ها
ما امدید امشب یکمی بخندیم بریم اگه گذاشتین	بخند جان
سلام	علیک
خا پس نشو تووجون به عزارییل نمیدی	خوده عزرائیل جوون میدم بش چی فکر کردی نفله
همش میکشونی پیوی ها	بیا دیگ
سلام	سلام
خوده عزرائیل جوون میدم بش چی فکر کردی نفله	فک نکنم بعیده عزتو
چوتوری	خوبم تو خوبی؟
چیه	هیچ
خوبم تو خوبی؟	اصل
فک نکنم بعیده عزتو	اره راس میگی زیاد فک کنی دیونم میشی
ریدین	بخورر
ریدین	اب قطعه
ریدین	ادب
بخورر	نوش
اصل	۲۰ ته
ادب	آه حالا خوبه ادمینی
اصل	پرسیدم خوبی؟
حالت ازخودت بهم بخوره	چرا؟
پرسیدم خوبی؟	بلی چراکی نه
آه حالا خوبه ادمینی	دلیلی نمیشه بد دهنی کنی ک
نوش	توش
۲۰ ته	خوش
توش	مال خودت
خلوت شد	اصل
بلی چراکی نه	اوک
اصل	تهران
چقد تهرونی	بده مگه؟
تهران	کوجاش
بده مگه؟	خیلی هم خوبه زیاد کن
سلام	سلام خوبس
اوک	بیا فی وی
سلام	سلام
سلام خوبس	ب خوبیت
سلام	خوبی
ب خوبیت	فدات
کوجاش	همه جای تهران سرای من است
سلام کسی هست اینجا بینیشو عمل کرده باشه؟	چطور
خوبی	ن ت چی؟
فدات	الهی امین
همه جای تهران سرای من است	هاهاهااهااا
خوبی	به خوبیت
الهی امین	دیونه
چه خوب	هااا
ن ت چی؟	ع چرا ؟
هاهاهااهااا	هر هر
چطور	تواینجام هستی
ع چرا ؟	مهم نی ت خوبی؟
تواینجام هستی	اره
هااا	خوبه والا امکانات این گروه
اره	عمل کردی؟
سلام	سلام
سلام	سلام
عمل کردی؟	نع سوالی داری بپرس
چیه	هیچی
نع سوالی داری بپرس	ع کجا میدونی تواخه
هر هر	خودت بیا
سلااااااااااااام	سلام
کاشان نبووووووودبرم	من کاشونیم
سلام	خوبی؟
ع کجا میدونی تواخه	یکی ا دوستام کرده
سلام	سلام
خوبی؟	خوبم شما چطوری ؟
سلام	سلام
یکی ا دوستام کرده	خب دوستات توچ میدونی اخه
خوبم شما چطوری ؟	قربونت منم خوبم
سلام	خبی
اهای تویی که بقیش بلد نیستم ببخشید نشد فیض ببرین	کسخولی بره چی
خبی	فدات تو خوبی
خب دوستات توچ میدونی اخه	میپرسم
منم ویژه کنید دگه	اخی
کسخولی بره چی	هن؟
اسمت یاد یکی انداخت یک لحظه	رلت؟
هن؟	هیچی
قربونت منم خوبم	خداروشکر عزیزم
منم ویژه کنید دگه	باید واسی فعلا
میپرسم	بیاپی
منم ویژه کنید دگه	ویژه
فدات تو خوبی	مر۳۰
باید واسی فعلا	الان ک ویژه شدم ببین
مر۳۰	خواهش
الان ک ویژه شدم ببین	بعله بعله
حلال زاده ای	چطور مگه
بعله بعله	دیدی
چ باکلاس	سلام
قبلنا بهتر بودی	خوبی داش
خوبی داش	فدااااااات تو چطوری؟؟؟؟؟
فدااااااات تو چطوری؟؟؟؟؟	نشی میگذرع
صادق	جان اوکی هستی؟؟؟؟
نشی میگذرع	سرتو بیار جلو
جان اوکی هستی؟؟؟؟	جانت به فدایم آررره
سرتو بیار جلو	هن
جانت به فدایم آررره	خدا نکنه اصل بشوت ببینم کیستی
سرتو بیار جلو	دیگه بهم زنگ نزن
هن	خیلی تب داری باید بزاریمت تو یخچال
دیگه بهم زنگ نزن	نععععععععع تو بی من میمیری
خدا نکنه اصل بشوت ببینم کیستی	انشالله میکنه ساناز ۱۵
نععععععععع تو بی من میمیری	حاضرم بمیرم ولی دیگه باتو ادامه ندم
انشالله میکنه ساناز ۱۵	انشالاه کچل شی روانی
انشالاه کچل شی روانی	حیف نیس؟
خیلی تب داری باید بزاریمت تو یخچال	اره
حاضرم بمیرم ولی دیگه باتو ادامه ندم	شرمنده شو چون اون چیزی که تو تصوراتم بودی نبودی
صلمــ	سلام
اره	چه خبرااااا چقد اروم شدی
حیف نیس؟	نه
سلام	خبیع
شرمنده شو چون اون چیزی که تو تصوراتم بودی نبودی	ها؟؟چیشد الان تو طلبکاری از من؟
نه	جونِ تو حیفه
خبیع	خوبم نو خوبی؟؟؟؟
خوبم نو خوبی؟؟؟؟	عا
ها؟؟چیشد الان تو طلبکاری از من؟	عاره که طلبکارم نه اخلاق داری نه خوشکلی
جونِ تو حیفه	اون که صد در صد
عاره که طلبکارم نه اخلاق داری نه خوشکلی	یه فرصت بهم بده تا خودمو ثابت کنم
یه فرصت بهم بده تا خودمو ثابت کنم	خودت خاصتی زنگ نزنم دیگه
سهلام	سلام
خودت خاصتی زنگ نزنم دیگه	اونو یادم رف کلا یجوری واکنش نشون دادی احساس کردم باید نازتو بکشم
سلام یکی بیاد پی وی بحرفیم	سلام من بیام؟
سلام یکی بیاد پی وی بحرفیم	سلام میس الان میاد
سهلام	اسمت ناقصه
سلام من بیام؟	برو کمکش کن از تنهایی در بیاد
سلام من بیام؟	دختری؟
برو کمکش کن از تنهایی در بیاد	تو بیا کمک کن
برو کمکش کن از تنهایی در بیاد	تو الان باید غیرتی شی بزنی تو دهنم خون بپاچه رو در و دیوار
تو بیا کمک کن	عکس نداری نمیام
دختری؟	هرچی تو بخای عشقم
تو الان باید غیرتی شی بزنی تو دهنم خون بپاچه رو در و دیوار	مگه فرستادمت پیوی پسر پیوی دختره توقع داری من برم؟؟؟؟؟
عکس نداری نمیام	بیا میفرستم
بیا میفرستم	از کجا معلوم دختری؟؟؟؟ باید ثابت کنی
مگه فرستادمت پیوی پسر پیوی دختره توقع داری من برم؟؟؟؟؟	مگه من لزم؟
صادق اگه بری جفت چشاتو در میارم از گوشات آویزون میکنم	وحشی
وحشی	من دخترم ولی بیا مردونگی یادت بدم
من دخترم ولی بیا مردونگی یادت بدم	بریم یادم بده
وحشی	ســلــام آقــا صــادق خــوبــے
بریم یادم بده	پناه بر خدا
ســلــام آقــا صــادق خــوبــے	سلاااااااااام زهرا خانوم گل قربونت خوبم شما چطوری؟؟؟؟؟
پناه بر خدا	خو یادم نده
اے جــاااااانــمــ	بلاکش کن
باشه میرم ولی اگه از راه حق منحرف شدم تقصیر توئه	شما مارو گول نزن کسی از راه حق نمیتونه دورت کنه
شما مارو گول نزن کسی از راه حق نمیتونه دورت کنه	برم ینی؟
سلاااااااااام زهرا خانوم گل قربونت خوبم شما چطوری؟؟؟؟؟	ماشالله دلت دریاس
ماشالله دلت دریاس	از دوستان قدیم هستن
عه تویی	عه منم
از دوستان قدیم هستن	کلی گفتم
برم ینی؟	برو الان منم میام یواشکی مراقبت کنم ازت
ماشالله دلت دریاس	از دوســتــاے خــیــلــے قــدیــمــے و خــوبــمــه
عه منم	توپی؟
اے جــاااااانــمــ	خل شدم
از دوســتــاے خــیــلــے قــدیــمــے و خــوبــمــه	آها
توپی؟	نچ
نچ	چی شده
شکر خدا چه خبرا؟؟؟؟؟؟ کوچولو خوبه؟؟؟؟	ســلــامــتــیــت عــزیــز شــڪــر خــوبــه
چی شده	هیچی
برو الان منم میام یواشکی مراقبت کنم ازت	نمیخاد بیای تو اگه میخاستی ازم مواظبت کنی منو تو دهن گرگ نمینداختی
کلی گفتم	افرین افرین
هیچی	این هیچ همیشه خیلی چیزا بوده
افرین افرین	پررو هم که هستی
نمیخاد بیای تو اگه میخاستی ازم مواظبت کنی منو تو دهن گرگ نمینداختی	اگه دهنش بو پیاز یا سیر میده نرو بمون پیش خودم
این هیچ همیشه خیلی چیزا بوده	هممم
خل شدم	یــادش بــخــیــر آجــے
این چیه	ســلــام رها عــشــقــم خــوبــے
پررو هم که هستی	نه والا فقط یکم روابط اجتماعیم قویه
اگه دهنش بو پیاز یا سیر میده نرو بمون پیش خودم	بزا برم دهنشو بو کنم میام
خــودت گــلــے	فدایت چه خبرا کم پیدایی
ســلــام رها عــشــقــم خــوبــے	سلام عزیزم میگذرونیم شما خوبی
یــادش بــخــیــر آجــے	اوم قلبا یادته
بزا برم دهنشو بو کنم میام	مراقبت کن یهو بوست نکنه
نه والا فقط یکم روابط اجتماعیم قویه	دیگه چه روابطیت قویه؟
دیگه چه روابطیت قویه؟	بقیش تو پیوی
بقیش تو پیوی	خودت بیا
مراقبت کن یهو بوست نکنه	اگه بوسید منم مجبورم همراهیش کنم
خودت بیا	من که ریپورتم
من که ریپورتم	دروغ نگو دیگ
اگه بوسید منم مجبورم همراهیش کنم	از اونور بلیط پاریس بگیرید برید
از اونور بلیط پاریس بگیرید برید	رامون نمیدن
رها خیلی نهنگه رها خیلی چلنگه	خــوبــے شــمــا
از اونور بلیط پاریس بگیرید برید	پاریس این بوگندو رو میخواد چیکا اخه
دروغ نگو دیگ	به جان ممد راست میگم
به جان ممد راست میگم	ممد کیه؟
پاریس این بوگندو رو میخواد چیکا اخه	اه اه کدومشون بو میدن
ممد کیه؟	دوسته محسن
پاریس این بوگندو رو میخواد چیکا اخه	کدوم بوگندو
اه اه کدومشون بو میدن	کیو داری مستفیض میکنی؟؟؟؟